sample,condition,target,strand,rt,replicate,ct
rep1,untreated,GAPDH,na,+RT,1,18.92
rep1,untreated,GAPDH,na,+RT,2,18.88
rep1,untreated,GAPDH,na,-RT,1,30.97
rep1,untreated,GAPDH,na,-RT,2,30.90
rep1,untreated,chr2,forward,+RT,1,29.87
rep1,untreated,chr2,forward,+RT,2,29.97
rep1,untreated,chr2,forward,-RT,1,37.63
rep1,untreated,chr2,forward,-RT,2,37.59
rep1,untreated,chr2,reverse,+RT,1,31.08
rep1,untreated,chr2,reverse,+RT,2,30.92
rep1,untreated,chr2,reverse,-RT,1,38.01
rep1,untreated,chr2,reverse,-RT,2,37.93
rep1,ICRF,GAPDH,na,+RT,1,19.00
rep1,ICRF,GAPDH,na,+RT,2,18.98
rep1,ICRF,GAPDH,na,-RT,1,31.01
rep1,ICRF,GAPDH,na,-RT,2,31.23
rep1,ICRF,chr2,forward,+RT,1,27.80
rep1,ICRF,chr2,forward,+RT,2,27.79
rep1,ICRF,chr2,forward,-RT,1,37.59
rep1,ICRF,chr2,forward,-RT,2,37.41
rep1,ICRF,chr2,reverse,+RT,1,29.56
rep1,ICRF,chr2,reverse,+RT,2,29.66
rep1,ICRF,chr2,reverse,-RT,1,38.07
rep1,ICRF,chr2,reverse,-RT,2,38.11
rep2,untreated,GAPDH,na,+RT,1,19.41
rep2,untreated,GAPDH,na,+RT,2,19.18
rep2,untreated,GAPDH,na,-RT,1,31.33
rep2,untreated,GAPDH,na,-RT,2,31.35
rep2,untreated,chr2,forward,+RT,1,30.30
rep2,untreated,chr2,forward,+RT,2,30.20
rep2,untreated,chr2,forward,-RT,1,37.49
rep2,untreated,chr2,forward,-RT,2,37.38
rep2,untreated,chr2,reverse,+RT,1,31.43
rep2,untreated,chr2,reverse,+RT,2,31.41
rep2,untreated,chr2,reverse,-RT,1,38.01
rep2,untreated,chr2,reverse,-RT,2,37.94
rep2,ICRF,GAPDH,na,+RT,1,19.52
rep2,ICRF,GAPDH,na,+RT,2,19.42
rep2,ICRF,GAPDH,na,-RT,1,31.51
rep2,ICRF,GAPDH,na,-RT,2,31.50
rep2,ICRF,chr2,forward,+RT,1,28.00
rep2,ICRF,chr2,forward,+RT,2,27.97
rep2,ICRF,chr2,forward,-RT,1,37.53
rep2,ICRF,chr2,forward,-RT,2,37.48
rep2,ICRF,chr2,reverse,+RT,1,29.82
rep2,ICRF,chr2,reverse,+RT,2,29.86
rep2,ICRF,chr2,reverse,-RT,1,38.09
rep2,ICRF,chr2,reverse,-RT,2,37.86
rep3,untreated,GAPDH,na,+RT,1,19.46
rep3,untreated,GAPDH,na,+RT,2,19.64
rep3,untreated,GAPDH,na,-RT,1,31.53
rep3,untreated,GAPDH,na,-RT,2,31.61
rep3,untreated,chr2,forward,+RT,1,30.59
rep3,untreated,chr2,forward,+RT,2,30.55
rep3,untreated,chr2,forward,-RT,1,37.65
rep3,untreated,chr2,forward,-RT,2,37.41
rep3,untreated,chr2,reverse,+RT,1,31.57
rep3,untreated,chr2,reverse,+RT,2,31.51
rep3,untreated,chr2,reverse,-RT,1,38.04
rep3,untreated,chr2,reverse,-RT,2,37.93
rep3,ICRF,GAPDH,na,+RT,1,19.66
rep3,ICRF,GAPDH,na,+RT,2,19.77
rep3,ICRF,GAPDH,na,-RT,1,31.65
rep3,ICRF,GAPDH,na,-RT,2,31.72
rep3,ICRF,chr2,forward,+RT,1,28.42
rep3,ICRF,chr2,forward,+RT,2,28.18
rep3,ICRF,chr2,forward,-RT,1,37.37
rep3,ICRF,chr2,forward,-RT,2,37.42
rep3,ICRF,chr2,reverse,+RT,1,30.30
rep3,ICRF,chr2,reverse,+RT,2,30.25
rep3,ICRF,chr2,reverse,-RT,1,37.92
rep3,ICRF,chr2,reverse,-RT,2,37.95
